Run: results/run_20260410_175156
Device: mps  |  Trainable params: 2,516,108
Config: LR=0.0003  WD=0  BS=4  AUGMENT=False  Epochs=300  Warmup=5
------------------------------------------------------------------------------------------
Epoch   0 [L1-only] | Train: tot=0.1495 ctr=0.0000 sz=0.0000 l1=0.1495 | Val: tot=0.3526 ctr=0.1861 sz=0.0622 l1=0.1974 | 8.9s
Epoch   1 [L1-only] | Train: tot=0.1180 ctr=0.0000 sz=0.0000 l1=0.1180 | Val: tot=0.2067 ctr=0.0809 sz=0.0710 l1=0.0952 | 5.5s
Epoch   2 [L1-only] | Train: tot=0.0990 ctr=0.0000 sz=0.0000 l1=0.0990 | Val: tot=0.1973 ctr=0.0714 sz=0.0748 l1=0.0868 | 5.0s
Epoch   3 [L1-only] | Train: tot=0.0857 ctr=0.0000 sz=0.0000 l1=0.0857 | Val: tot=0.1923 ctr=0.0641 sz=0.0787 l1=0.0816 | 5.0s
Epoch   4 [L1-only] | Train: tot=0.0772 ctr=0.0000 sz=0.0000 l1=0.0772 | Val: tot=0.2128 ctr=0.0721 sz=0.0852 l1=0.0916 | 5.3s
Epoch   5 [Hybrid ] | Train: tot=0.1796 ctr=0.0571 sz=0.0713 l1=0.0798 | Val: tot=0.1607 ctr=0.0489 sz=0.0609 l1=0.0753 | 5.3s
Epoch   6 [Hybrid ] | Train: tot=0.1535 ctr=0.0457 sz=0.0554 l1=0.0753 | Val: tot=0.1410 ctr=0.0354 sz=0.0544 l1=0.0689 | 5.4s
Epoch   7 [Hybrid ] | Train: tot=0.1573 ctr=0.0487 sz=0.0525 l1=0.0804 | Val: tot=0.1682 ctr=0.0562 sz=0.0532 l1=0.0869 | 5.4s
Epoch   8 [Hybrid ] | Train: tot=0.1476 ctr=0.0422 sz=0.0525 l1=0.0740 | Val: tot=0.1705 ctr=0.0592 sz=0.0523 l1=0.0886 | 5.4s
Epoch   9 [Hybrid ] | Train: tot=0.1594 ctr=0.0515 sz=0.0511 l1=0.0826 | Val: tot=0.1404 ctr=0.0356 sz=0.0523 l1=0.0704 | 5.4s
Epoch  10 [Hybrid ] | Train: tot=0.1358 ctr=0.0322 sz=0.0515 l1=0.0683 | Val: tot=0.1302 ctr=0.0256 sz=0.0518 l1=0.0656 | 5.3s
Epoch  11 [Hybrid ] | Train: tot=0.1288 ctr=0.0270 sz=0.0513 l1=0.0640 | Val: tot=0.1293 ctr=0.0259 sz=0.0518 l1=0.0645 | 5.7s
Epoch  12 [Hybrid ] | Train: tot=0.1280 ctr=0.0257 sz=0.0503 l1=0.0648 | Val: tot=0.1266 ctr=0.0227 sz=0.0517 l1=0.0636 | 6.8s
Epoch  13 [Hybrid ] | Train: tot=0.1270 ctr=0.0250 sz=0.0508 l1=0.0636 | Val: tot=0.1271 ctr=0.0247 sz=0.0512 l1=0.0635 | 5.5s
Epoch  14 [Hybrid ] | Train: tot=0.1275 ctr=0.0264 sz=0.0501 l1=0.0642 | Val: tot=0.1282 ctr=0.0269 sz=0.0508 l1=0.0639 | 5.2s
Epoch  15 [Hybrid ] | Train: tot=0.1251 ctr=0.0253 sz=0.0499 l1=0.0626 | Val: tot=0.1263 ctr=0.0243 sz=0.0507 l1=0.0634 | 5.2s
Epoch  16 [Hybrid ] | Train: tot=0.1201 ctr=0.0200 sz=0.0498 l1=0.0603 | Val: tot=0.1253 ctr=0.0244 sz=0.0500 l1=0.0631 | 5.3s
Epoch  17 [Hybrid ] | Train: tot=0.1229 ctr=0.0228 sz=0.0492 l1=0.0622 | Val: tot=0.1240 ctr=0.0215 sz=0.0504 l1=0.0629 | 5.5s
Epoch  18 [Hybrid ] | Train: tot=0.1235 ctr=0.0245 sz=0.0493 l1=0.0620 | Val: tot=0.1386 ctr=0.0349 sz=0.0518 l1=0.0694 | 6.7s
Epoch  19 [Hybrid ] | Train: tot=0.1231 ctr=0.0226 sz=0.0497 l1=0.0621 | Val: tot=0.1240 ctr=0.0213 sz=0.0495 l1=0.0639 | 6.8s
Epoch  20 [Hybrid ] | Train: tot=0.1224 ctr=0.0232 sz=0.0487 l1=0.0621 | Val: tot=0.1283 ctr=0.0261 sz=0.0503 l1=0.0650 | 6.0s
